,HomeTeam,AwayTeam,FTHG,FTAG,result,HTHG,HTAG,HTR,HST,AST,HF,AF,HY,AY,HR,AR,player_Name_home,player_Wins_home,player_Losses_home,player_Goals_home,player_Goals per match_home,player_Penalties scored_home,player_Shooting accuracy %_home,player_Own goals_home,player_Yellow cards_home,player_Red cards_home,player_Fouls_home,Forward_home,rank_home,matches_played_home,wins_home,drawns_home,goals_for_home,goals_against_home,goals_diff_home,points_home,lossess_home,rank_away,matches_played_away,wins_away,drawns_away,goals_for_away,goals_against_away,goals_diff_away,points_away,lossess_away,player_Name_away,player_Wins_away,player_Losses_away,player_Goals_away,player_Goals per match_away,player_Penalties scored_away,player_Shooting accuracy %_away,player_Own goals_away,player_Yellow cards_away,player_Red cards_away,player_Fouls_away,Forward_away,numberof_winby_home_between,numberof_winby_away_between,numberof_match_draw_between,number_of_match_play_between,Past_5_match_won_by_home,Past_5_match_won_by_away,Past_5_match_drwan
75,Chelsea,Liverpool,0,1,A,0,0,D,4,4,9,9,1,1,0,0,Callum Hudson-Odoi,18,12,1,0,0,28,0,1,0,12,Callum Hudson-Odoi,3,1038,558,257,1770,1002,28,71,223,4,1038,529,262,1774,1046,26,68,247,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,0,3,1,4,0,3,1
76,Chelsea,Liverpool,1,2,A,0,1,A,5,3,13,11,3,2,0,0,Callum Hudson-Odoi,18,12,1,0,0,28,0,1,0,12,Callum Hudson-Odoi,3,1038,558,257,1770,1002,28,71,223,4,1038,529,262,1774,1046,26,68,247,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,0,3,1,4,0,3,1
77,Chelsea,Liverpool,1,1,D,1,1,D,3,4,13,11,4,3,0,0,Callum Hudson-Odoi,18,12,1,0,0,28,0,1,0,12,Callum Hudson-Odoi,3,1038,558,257,1770,1002,28,71,223,4,1038,529,262,1774,1046,26,68,247,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,0,3,1,4,0,3,1
78,Chelsea,Liverpool,1,2,A,0,2,A,4,5,6,13,1,1,0,0,Callum Hudson-Odoi,18,12,1,0,0,28,0,1,0,12,Callum Hudson-Odoi,3,1038,558,257,1770,1002,28,71,223,4,1038,529,262,1774,1046,26,68,247,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,0,3,1,4,0,3,1
79,Man United,Liverpool,3,2,H,1,0,H,7,1,15,10,4,1,0,0,Mason Greenwood,14,10,10,0,0,49,0,0,0,12,Mason Greenwood,1,1038,648,224,1989,929,39,80,166,4,1038,529,262,1774,1046,26,68,247,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,2,1,0,3,2,1,0
80,Man United,Liverpool,0,3,A,0,1,A,1,7,13,12,1,4,1,0,Mason Greenwood,14,10,10,0,0,49,0,0,0,12,Mason Greenwood,1,1038,648,224,1989,929,39,80,166,4,1038,529,262,1774,1046,26,68,247,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,2,1,0,3,2,1,0
81,Man United,Liverpool,3,0,H,2,0,H,6,9,13,14,4,3,0,0,Mason Greenwood,14,10,10,0,0,49,0,0,0,12,Mason Greenwood,1,1038,648,224,1989,929,39,80,166,4,1038,529,262,1774,1046,26,68,247,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,2,1,0,3,2,1,0
82,Aston Villa,Liverpool,0,1,A,0,0,D,7,9,13,11,1,1,0,0,Bertrand Traoré,2,4,2,0,0,35,0,0,0,3,Bertrand Traoré,9,924,316,275,1117,1186,-2,50,333,4,1038,529,262,1774,1046,26,68,247,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,0,3,0,3,0,3,0
83,Aston Villa,Liverpool,0,2,A,0,2,A,8,12,5,14,1,2,0,0,Bertrand Traoré,2,4,2,0,0,35,0,0,0,3,Bertrand Traoré,9,924,316,275,1117,1186,-2,50,333,4,1038,529,262,1774,1046,26,68,247,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,0,3,0,3,0,3,0
84,Aston Villa,Liverpool,1,2,A,1,0,H,7,12,9,8,1,1,0,0,Bertrand Traoré,2,4,2,0,0,35,0,0,0,3,Bertrand Traoré,9,924,316,275,1117,1186,-2,50,333,4,1038,529,262,1774,1046,26,68,247,Diogo Jota,27,19,16,0,0,39,0,15,0,84,Diogo Jota,0,3,0,3,0,3,0
