,Name,Jersey Number,Club,Position,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides,Defender,Forward,Midfielder,Goalkeeper
12,Gabriel Magalhães,6.0,Arsenal,Defender,Brazil,22.0,2,2,0,1,,0.0,0.0,0.0,,,,,,0.0,,1.0,1.0,2.0,2%,0.0,0.0,2.0,8.0,7.0,1.0,6.0,8.0,7.0,0.0,4.0,3.0,0.0,0.0,0,197,98.5,0.0,0.0,0%,0.0,6.0,,,,,,,,,0,0,3,0.0,Gabriel Magalhães,0,0,0
13,Mesut Özil,10.0,Arsenal,Midfielder,Germany,31.0,184,100,39,33,0.18,4.0,4.0,25.0,0.0,1.0,205.0,92.0,45%,7.0,26.0,,,161.0,68%,,58.0,75.0,37.0,13.0,,778.0,625.0,744.0,248.0,28.0,83.0,,2.0,54,11186,60.79,65.0,834.0,35%,121.0,276.0,,,,,,,,,13,0,95,83.0,0,0,Mesut Özil,0
14,Lucas Torreira,11.0,Arsenal,Midfielder,Uruguay,24.0,63,28,15,3,0.05,0.0,3.0,0.0,0.0,0.0,46.0,12.0,26%,1.0,1.0,,,96.0,57%,,10.0,75.0,53.0,22.0,,327.0,276.0,212.0,30.0,32.0,47.0,,0.0,3,2493,39.57,3.0,40.0,28%,4.0,94.0,,,,,,,,,14,1,62,0.0,0,0,Lucas Torreira,0
15,Ainsley Maitland-Niles,15.0,Arsenal,Midfielder,England,23.0,54,26,16,1,0.02,0.0,1.0,0.0,0.0,0.0,14.0,4.0,29%,1.0,1.0,,,101.0,62%,,3.0,62.0,66.0,29.0,,223.0,218.0,207.0,58.0,29.0,38.0,,0.0,3,1867,34.57,4.0,57.0,21%,2.0,74.0,,,,,,,,,6,2,35,1.0,0,0,Ainsley Maitland-Niles,0
16,Mohamed Elneny,25.0,Arsenal,Midfielder,Egypt,28.0,47,29,10,0,47.0,0.0,0.0,0.0,0.0,0.0,44.0,5.0,11%,0.0,2.0,,,57.0,54%,,22.0,41.0,41.0,15.0,,211.0,109.0,107.0,11.0,18.0,34.0,,0.0,3,2532,53.87,2.0,30.0,13%,4.0,83.0,,,,,,,,,7,1,24,2.0,0,0,Mohamed Elneny,0
17,Joseph Willock,28.0,Arsenal,Midfielder,England,21.0,33,12,12,1,0.03,0.0,1.0,0.0,0.0,0.0,18.0,5.0,28%,0.0,2.0,,,30.0,60%,,4.0,6.0,10.0,4.0,,64.0,75.0,76.0,21.0,9.0,18.0,,0.0,1,398,12.06,1.0,9.0,22%,3.0,15.0,,,,,,,,,2,0,13,0.0,0,0,Joseph Willock,0
18,Matteo Guendouzi,29.0,Arsenal,Midfielder,France,21.0,57,24,17,0,57.0,0.0,0.0,0.0,0.0,0.0,27.0,9.0,33%,1.0,1.0,,,75.0,56%,,11.0,59.0,58.0,29.0,,284.0,263.0,217.0,47.0,31.0,40.0,,1.0,1,2750,48.25,4.0,21.0,10%,16.0,148.0,,,,,,,,,15,0,41,0.0,0,0,Matteo Guendouzi,0
19,Emile Smith Rowe,32.0,Arsenal,Midfielder,England,20.0,2,0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,,,1.0,100%,,0.0,1.0,2.0,2.0,,5.0,4.0,4.0,2.0,0.0,0.0,,0.0,0,35,17.5,0.0,1.0,1%,0.0,0.0,,,,,,,,,0,0,0,0.0,0,0,Emile Smith Rowe,0
20,Granit Xhaka,34.0,Arsenal,Midfielder,Switzerland,27.0,132,70,33,8,0.06,0.0,0.0,8.0,0.0,2.0,144.0,41.0,28%,2.0,1.0,,,254.0,66%,,40.0,133.0,208.0,129.0,,885.0,650.0,607.0,69.0,181.0,173.0,,7.0,13,9739,73.78,12.0,274.0,25%,35.0,673.0,,,,,,,,,35,2,196,2.0,0,0,Granit Xhaka,0
21,Bukayo Saka,7.0,Arsenal,Midfielder,England,19.0,28,11,7,1,0.04,0.0,0.0,1.0,0.0,0.0,15.0,4.0,27%,1.0,1.0,,,36.0,,,5.0,12.0,12.0,7.0,,,,,,,,,,5,716,25.57,6.0,69.0,,,,,,,,,,,,6,0,22,13.0,0,0,Bukayo Saka,0
