,Name,Jersey Number,Club,Position,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides,Defender,Forward,Midfielder,Goalkeeper
62,Ben White,3.0,Brighton,Defender,England,22.0,2,1,1,0,,0.0,0.0,0.0,,,,,,0.0,,1.0,3.0,2.0,100%,0.0,0.0,2.0,2.0,1.0,0.0,5.0,8.0,5.0,1.0,4.0,3.0,0.0,0.0,0,101,50.5,0.0,1.0,1%,0.0,4.0,,,,,,,,,0,0,2,0.0,Ben White,0,0,0
63,Tariq Lamptey,2.0,Brighton,Defender,England,19.0,11,4,4,0,,0.0,0.0,0.0,,,,,,0.0,,1.0,11.0,12.0,83%,0.0,2.0,23.0,16.0,8.0,0.0,41.0,57.0,51.0,17.0,5.0,10.0,0.0,0.0,2,243,22.09,4.0,27.0,15%,0.0,3.0,,,,,,,,,3,0,16,0.0,Tariq Lamptey,0,0,0
64,Lewis Dunk,5.0,Brighton,Defender,England,28.0,112,28,49,6,,3.0,3.0,0.0,,,,,,1.0,,27.0,162.0,151.0,56%,4.0,16.0,173.0,547.0,304.0,4.0,725.0,560.0,362.0,15.0,345.0,192.0,4.0,2.0,5,5364,47.89,3.0,10.0,20%,6.0,506.0,,,,,,,,,21,1,80,1.0,Lewis Dunk,0,0,0
65,Adam Webster,4.0,Brighton,Defender,England,25.0,33,8,13,3,,2.0,1.0,0.0,,,,,,0.0,,6.0,47.0,33.0,55%,0.0,3.0,48.0,112.0,55.0,0.0,184.0,179.0,108.0,14.0,114.0,68.0,1.0,1.0,1,2001,60.64,2.0,6.0,33%,1.0,120.0,,,,,,,,,4,0,14,0.0,Adam Webster,0,0,0
66,Bernardo,30.0,Brighton,Defender,Brazil,25.0,36,9,16,0,,0.0,0.0,0.0,,,,,,0.0,,2.0,46.0,89.0,66%,0.0,5.0,40.0,86.0,49.0,1.0,169.0,212.0,109.0,22.0,75.0,38.0,0.0,0.0,1,1115,30.97,3.0,48.0,19%,0.0,35.0,,,,,,,,,5,0,20,6.0,Bernardo,0,0,0
67,Dan Burn,33.0,Brighton,Defender,England,28.0,44,11,19,0,,0.0,0.0,0.0,,,,,,1.0,,9.0,60.0,73.0,64%,0.0,5.0,51.0,203.0,129.0,1.0,175.0,270.0,191.0,19.0,165.0,68.0,0.0,0.0,0,1792,40.73,2.0,51.0,20%,3.0,62.0,,,,,,,,,5,0,38,3.0,Dan Burn,0,0,0
68,Joël Veltman,34.0,Brighton,Defender,Netherlands,28.0,0,0,0,0,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,Joël Veltman,0,0,0
69,Romaric Yapi,52.0,Brighton,Defender,France,20.0,0,0,0,0,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,Romaric Yapi,0,0,0
70,Alex Cochrane,50.0,Brighton,Defender,England,20.0,0,0,0,0,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,Alex Cochrane,0,0,0
71,Haydon Roberts,58.0,Brighton,Defender,England,18.0,0,0,0,0,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,Haydon Roberts,0,0,0
72,Dale Stephens,6.0,Brighton,Midfielder,England,31.0,99,24,45,1,0.01,0.0,0.0,1.0,0.0,0.0,49.0,5.0,10%,1.0,0.0,,,261.0,63%,,16.0,167.0,152.0,90.0,,724.0,402.0,445.0,35.0,73.0,75.0,,0.0,5,4785,48.33,4.0,6.0,17%,7.0,381.0,,,,,,,,,20,1,136,0.0,0,0,Dale Stephens,0
73,Yves Bissouma,8.0,Brighton,Midfielder,Mali,24.0,52,13,26,1,0.02,0.0,1.0,0.0,0.0,0.0,51.0,10.0,20%,1.0,2.0,,,115.0,63%,,11.0,57.0,48.0,23.0,,239.0,285.0,261.0,79.0,48.0,49.0,,1.0,0,1441,27.71,1.0,14.0,21%,6.0,74.0,,,,,,,,,9,1,74,2.0,0,0,Yves Bissouma,0
74,Alexis Mac Allister,10.0,Brighton,Midfielder,Argentina,21.0,9,3,2,0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,14%,0.0,1.0,,,9.0,56%,,3.0,1.0,1.0,0.0,,15.0,17.0,22.0,2.0,3.0,5.0,,0.0,0,98,10.89,0.0,23.0,13%,0.0,2.0,,,,,,,,,0,0,4,1.0,0,0,Alexis Mac Allister,0
75,Pascal Groß,13.0,Brighton,Midfielder,Germany,29.0,93,20,42,12,0.13,2.0,9.0,1.0,2.0,1.0,97.0,38.0,39%,1.0,3.0,,,101.0,50%,,29.0,37.0,48.0,15.0,,313.0,216.0,387.0,21.0,49.0,123.0,,0.0,15,2937,31.58,35.0,522.0,31%,17.0,166.0,,,,,,,,,7,0,67,22.0,0,0,Pascal Groß,0
76,Adam Lallana,14.0,Brighton,Midfielder,England,32.0,198,98,50,30,0.15,1.0,12.0,15.0,0.0,0.0,274.0,96.0,35%,8.0,24.0,,,322.0,75%,,91.0,166.0,126.0,49.0,,839.0,886.0,1078.0,209.0,120.0,249.0,,0.0,28,6407,32.36,25.0,489.0,20%,47.0,146.0,,,,,,,,,17,0,142,57.0,0,0,Adam Lallana,0
77,Solly March,20.0,Brighton,Midfielder,England,26.0,92,21,42,2,0.02,1.0,0.0,1.0,0.0,0.0,93.0,26.0,28%,2.0,4.0,,,140.0,56%,,31.0,62.0,66.0,24.0,,345.0,372.0,456.0,116.0,52.0,124.0,,0.0,7,1971,21.42,13.0,329.0,23%,3.0,100.0,,,,,,,,,6,0,70,15.0,0,0,Solly March,0
78,Davy Pröpper,24.0,Brighton,Midfielder,Netherlands,29.0,100,24,44,2,0.02,1.0,1.0,0.0,0.0,0.0,80.0,15.0,19%,2.0,6.0,,,187.0,57%,,22.0,151.0,134.0,54.0,,673.0,456.0,472.0,112.0,112.0,89.0,,2.0,7,4384,43.84,7.0,67.0,15%,7.0,258.0,,,,,,,,,8,1,105,3.0,0,0,Davy Pröpper,0
79,Steven Alzate,17.0,Brighton,Midfielder,Colombia,22.0,21,6,9,0,21.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,27%,0.0,1.0,,,34.0,,,7.0,15.0,13.0,11.0,,,,,,,,,,0,681,32.43,0.0,8.0,,,,,,,,,,,,1,0,21,3.0,0,0,Steven Alzate,0
80,Max Sanders,41.0,Brighton,Midfielder,England,21.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,0,0,Max Sanders,0
81,Jayson Molumby,49.0,Brighton,Midfielder,Ireland,21.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,0,0,Jayson Molumby,0
82,Lars Dendoncker,53.0,Brighton,Midfielder,Belgium,19.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,0,0,Lars Dendoncker,0
83,Peter Gwargis,55.0,Brighton,Midfielder,Sweden,20.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,0,0,Peter Gwargis,0
84,Leandro Trossard,11.0,Brighton,Forward,Belgium,25.0,33,7,14,6,0.18,0.0,3.0,3.0,0.0,0.0,45.0,14.0,31%,3.0,8.0,,,23.0,,,8.0,11.0,6.0,2.0,,,,,,,,,,4,772,23.39,7.0,83.0,,,,,,,,,,,,0,0,17,4.0,0,Leandro Trossard,0,0
85,Neal Maupay,9.0,Brighton,Forward,France,24.0,39,10,16,12,0.31,3.0,3.0,6.0,2.0,0.0,101.0,41.0,41%,1.0,11.0,,,21.0,,,31.0,5.0,9.0,3.0,,,,,,,,,,4,710,18.21,3.0,13.0,,,,,,,,,,,,3,0,38,15.0,0,Neal Maupay,0,0
86,Alireza Jahanbakhsh,16.0,Brighton,Forward,Iran,27.0,31,8,16,2,0.06,0.0,2.0,0.0,0.0,0.0,34.0,8.0,24%,2.0,0.0,,,41.0,,,10.0,14.0,3.0,0.0,,,,,,,,,,0,401,12.94,2.0,48.0,,,,,,,,,,,,2,0,21,7.0,0,Alireza Jahanbakhsh,0,0
87,José Izquierdo,19.0,Brighton,Forward,Colombia,28.0,47,13,19,5,0.11,0.0,5.0,0.0,0.0,0.0,67.0,19.0,28%,0.0,3.0,,,38.0,,,19.0,21.0,32.0,11.0,,,,,,,,,,4,728,15.49,4.0,29.0,,,,,,,,,,,,3,0,26,18.0,0,José Izquierdo,0,0
88,Aaron Connolly,7.0,Brighton,Forward,Ireland,20.0,26,8,12,4,0.15,0.0,4.0,0.0,0.0,0.0,43.0,16.0,37%,0.0,5.0,,,8.0,,,14.0,0.0,3.0,2.0,,,,,,,,,,1,161,6.19,1.0,9.0,,,,,,,,,,,,0,0,17,16.0,0,Aaron Connolly,0,0
89,Florin Andone,21.0,Brighton,Forward,Romania,27.0,26,5,14,4,0.15,2.0,2.0,0.0,0.0,0.0,20.0,9.0,45%,0.0,3.0,,,11.0,,,6.0,3.0,13.0,6.0,,,,,,,,,,0,177,6.81,0.0,5.0,,,,,,,,,,,,5,1,30,4.0,0,Florin Andone,0,0
90,Viktor Gyökeres,42.0,Brighton,Forward,Sweden,22.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0.0,0.0,0.0,,,,,,,,,,,,0,0,0,0.0,0,Viktor Gyökeres,0,0
91,Nick Pope,1.0,Burnley,Goalkeeper,England,28.0,74,28,26,0,,,,,,,,,,,,26.0,89.0,,,,,,,,,,,,,,,0.0,2.0,0,2124,28.7,,,,,647.0,237.0,2.0,29.0,100.0,18.0,45.0,300.0,605.0,4,0,1,,0,0,0,Nick Pope
92,Bailey Peacock-Farrell,15.0,Burnley,Goalkeeper,Northern Ireland,23.0,0,0,0,0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0,0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0,0,0,Bailey Peacock-Farrell
93,Will Norris,25.0,Burnley,Goalkeeper,England,27.0,1,1,0,0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0,0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0,0,0,Will Norris
94,Matthew Lowton,2.0,Burnley,Defender,England,31.0,172,49,83,2,,0.0,1.0,1.0,,,,,,0.0,,36.0,266.0,415.0,66%,1.0,6.0,317.0,697.0,296.0,6.0,732.0,796.0,601.0,95.0,198.0,147.0,0.0,2.0,12,5463,31.76,18.0,428.0,19%,19.0,466.0,,,,,,,,,35,0,144,1.0,Matthew Lowton,0,0,0
95,Charlie Taylor,3.0,Burnley,Defender,England,27.0,74,23,33,0,,0.0,0.0,0.0,,,,,,0.0,,19.0,98.0,111.0,50%,2.0,1.0,86.0,186.0,105.0,2.0,377.0,411.0,285.0,68.0,144.0,104.0,0.0,1.0,2,2249,30.39,3.0,238.0,21%,0.0,134.0,,,,,,,,,8,0,39,3.0,Charlie Taylor,0,0,0
96,James Tarkowski,5.0,Burnley,Defender,England,27.0,123,48,50,5,,1.0,1.0,2.0,,,,,,1.0,,34.0,154.0,202.0,59%,1.0,13.0,166.0,691.0,412.0,3.0,472.0,861.0,442.0,34.0,540.0,233.0,0.0,1.0,3,3839,31.21,7.0,15.0,20%,0.0,355.0,,,,,,,,,24,0,119,12.0,James Tarkowski,0,0,0
97,Ben Mee,6.0,Burnley,Defender,England,31.0,166,49,77,4,,3.0,1.0,0.0,,,,,,4.0,,47.0,233.0,240.0,60%,5.0,13.0,260.0,1082.0,652.0,9.0,911.0,986.0,624.0,35.0,609.0,399.0,4.0,5.0,4,6088,36.67,7.0,70.0,16%,1.0,634.0,,,,,,,,,36,0,118,6.0,Ben Mee,0,0,0
98,Erik Pieters,23.0,Burnley,Defender,Netherlands,32.0,194,61,79,1,,0.0,0.0,1.0,,,,,,0.0,,44.0,259.0,538.0,73%,2.0,11.0,354.0,620.0,312.0,2.0,899.0,1142.0,892.0,63.0,324.0,230.0,1.0,4.0,11,6880,35.46,17.0,455.0,18%,5.0,308.0,,,,,,,,,34,0,300,5.0,Erik Pieters,0,0,0
99,Phil Bardsley,26.0,Burnley,Defender,Scotland,35.0,300,100,130,7,,0.0,6.0,1.0,,,,,,2.0,,67.0,362.0,728.0,78%,8.0,56.0,423.0,1081.0,382.0,10.0,1154.0,1395.0,990.0,104.0,302.0,284.0,4.0,3.0,5,9247,30.82,17.0,660.0,20%,19.0,584.0,,,,,,,,,78,2,327,5.0,Phil Bardsley,0,0,0
100,Kevin Long,28.0,Burnley,Defender,Ireland,30.0,35,8,14,1,,1.0,0.0,0.0,,,,,,1.0,,7.0,46.0,63.0,68%,0.0,6.0,34.0,214.0,119.0,0.0,130.0,236.0,160.0,3.0,139.0,105.0,1.0,1.0,3,1038,29.66,4.0,2.0,2%,0.0,104.0,,,,,,,,,1,0,28,1.0,Kevin Long,0,0,0
101,Jimmy Dunne,34.0,Burnley,Defender,Ireland,22.0,1,0,1,1,,1.0,0.0,0.0,,,,,,0.0,,0.0,4.0,0.0,0%,0.0,0.0,2.0,8.0,4.0,0.0,3.0,9.0,2.0,0.0,7.0,0.0,0.0,0.0,0,25,25.0,0.0,0.0,0%,0.0,2.0,,,,,,,,,0,0,1,0.0,Jimmy Dunne,0,0,0
102,Bobby Thomas,37.0,Burnley,Defender,England,19.0,0,0,0,0,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,Bobby Thomas,0,0,0
103,Anthony Driscoll-Glennon,45.0,Burnley,Defender,England,20.0,0,0,0,0,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,Anthony Driscoll-Glennon,0,0,0
104,Jack Cork,4.0,Burnley,Midfielder,England,31.0,264,96,105,8,0.03,3.0,3.0,2.0,0.0,0.0,137.0,42.0,31%,2.0,6.0,,,466.0,71%,,43.0,400.0,477.0,207.0,,1565.0,1312.0,1335.0,184.0,393.0,479.0,,1.0,9,11059,41.89,11.0,151.0,17%,34.0,591.0,,,,,,,,,32,0,211,13.0,0,0,Jack Cork,0
105,Jóhann Gudmundsson,7.0,Burnley,Midfielder,Iceland,29.0,96,28,44,7,0.07,2.0,0.0,5.0,0.0,0.0,114.0,37.0,32%,8.0,1.0,,,93.0,61%,,32.0,91.0,90.0,33.0,,386.0,313.0,369.0,63.0,93.0,115.0,,0.0,17,1750,18.23,12.0,439.0,32%,3.0,82.0,,,,,,,,,5,0,41,6.0,0,0,Jóhann Gudmundsson,0
106,Josh Brownhill,8.0,Burnley,Midfielder,England,24.0,11,5,3,0,11.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8%,0.0,1.0,,,15.0,53%,,3.0,19.0,17.0,8.0,,52.0,52.0,42.0,8.0,21.0,20.0,,0.0,0,368,33.45,0.0,3.0,3%,0.0,10.0,,,,,,,,,2,0,8,0.0,0,0,Josh Brownhill,0
107,Dwight McNeil,11.0,Burnley,Midfielder,England,20.0,61,23,25,5,0.08,0.0,0.0,5.0,0.0,0.0,75.0,20.0,27%,3.0,2.0,,,83.0,,,25.0,43.0,59.0,25.0,,,,,,,,,,12,1509,24.74,17.0,377.0,,,,,,,,,,,,7,0,45,1.0,0,0,Dwight McNeil,0
108,Robbie Brady,12.0,Burnley,Midfielder,Ireland,28.0,142,37,77,9,0.06,0.0,2.0,7.0,2.0,1.0,155.0,42.0,27%,7.0,1.0,,,241.0,73%,,54.0,136.0,214.0,97.0,,578.0,596.0,572.0,129.0,136.0,111.0,,2.0,12,3280,23.1,23.0,724.0,26%,12.0,195.0,,,,,,,,,15,1,117,13.0,0,0,Robbie Brady,0
109,Ashley Westwood,18.0,Burnley,Midfielder,England,30.0,222,65,106,9,0.04,0.0,9.0,0.0,0.0,1.0,137.0,34.0,25%,1.0,5.0,,,336.0,68%,,48.0,321.0,241.0,62.0,,1309.0,586.0,616.0,36.0,94.0,124.0,,1.0,25,9880,44.5,39.0,657.0,32%,22.0,790.0,,,,,,,,,38,0,195,2.0,0,0,Ashley Westwood,0
110,Josh Benson,41.0,Burnley,Midfielder,England,20.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,0,0,Josh Benson,0
111,Chris Wood,9.0,Burnley,Forward,New Zealand,28.0,105,35,43,36,0.34,14.0,14.0,8.0,1.0,0.0,172.0,81.0,47%,7.0,36.0,,,28.0,,,22.0,7.0,62.0,44.0,,,,,,,,,,4,1535,14.62,8.0,25.0,,,,,,,,,,,,4,0,84,117.0,0,Chris Wood,0,0
112,Ashley Barnes,10.0,Burnley,Forward,England,30.0,155,45,71,38,0.25,5.0,29.0,4.0,5.0,0.0,276.0,104.0,38%,6.0,28.0,,,103.0,,,53.0,33.0,111.0,72.0,,,,,,,,,,6,2475,15.97,11.0,62.0,,,,,,,,,,,,32,2,269,92.0,0,Ashley Barnes,0,0
113,Jay Rodriguez,19.0,Burnley,Forward,England,31.0,178,53,71,41,0.23,8.0,25.0,7.0,2.0,0.0,378.0,140.0,37%,10.0,35.0,,,154.0,,,87.0,82.0,113.0,78.0,,,,,,,,,,12,2835,15.93,14.0,134.0,,,,,,,,,,,,11,0,156,99.0,0,Jay Rodriguez,0,0
114,Matej Vydra,27.0,Burnley,Forward,Czech Republic,28.0,57,11,30,6,0.11,0.0,5.0,1.0,0.0,0.0,37.0,20.0,54%,1.0,10.0,,,10.0,,,5.0,5.0,13.0,7.0,,,,,,,,,,5,359,6.3,4.0,11.0,,,,,,,,,,,,1,0,9,10.0,0,Matej Vydra,0,0
115,Kepa Arrizabalaga,1.0,Chelsea,Goalkeeper,Spain,25.0,71,39,20,0,,,,,,,,,,,,22.0,89.0,,,,,,,,,,,,,,,0.0,2.0,0,2006,28.25,,,,,334.0,142.0,1.0,16.0,33.0,9.0,22.0,320.0,473.0,2,0,0,,0,0,0,Kepa Arrizabalaga
116,Willy Caballero,13.0,Chelsea,Goalkeeper,Argentina,38.0,33,19,5,0,,,,,,,,,,,,11.0,33.0,,,,,,,,,,,,,,,0.0,2.0,0,798,24.18,,,,,166.0,72.0,1.0,15.0,20.0,5.0,16.0,132.0,166.0,0,0,0,,0,0,0,Willy Caballero
117,Antonio Rüdiger,2.0,Chelsea,Defender,Germany,27.0,80,45,21,5,,5.0,0.0,0.0,,,,,,1.0,,28.0,81.0,93.0,59%,0.0,15.0,72.0,252.0,139.0,2.0,522.0,341.0,289.0,15.0,199.0,153.0,1.0,1.0,1,5738,71.72,5.0,18.0,6%,14.0,364.0,,,,,,,,,14,0,73,3.0,Antonio Rüdiger,0,0,0
118,Marcos Alonso,3.0,Chelsea,Defender,Spain,29.0,140,87,32,20,,4.0,2.0,14.0,,,,,,11.0,,52.0,132.0,288.0,68%,0.0,63.0,215.0,369.0,184.0,1.0,831.0,800.0,639.0,90.0,286.0,213.0,0.0,1.0,12,6434,45.96,17.0,428.0,19%,8.0,214.0,,,,,,,,,25,1,125,16.0,Marcos Alonso,0,0,0
119,Andreas Christensen,4.0,Chelsea,Defender,Denmark,24.0,59,29,18,0,,0.0,0.0,0.0,,,,,,2.0,,12.0,64.0,76.0,51%,0.0,3.0,74.0,193.0,107.0,1.0,300.0,254.0,143.0,10.0,145.0,97.0,0.0,1.0,0,3213,54.46,2.0,0.0,0%,3.0,131.0,,,,,,,,,6,1,35,1.0,Andreas Christensen,0,0,0
120,Kurt Zouma,15.0,Chelsea,Defender,France,25.0,143,60,49,5,,4.0,1.0,0.0,,,,,,2.0,,35.0,164.0,160.0,69%,5.0,13.0,225.0,653.0,352.0,1.0,574.0,681.0,328.0,50.0,413.0,163.0,1.0,2.0,4,5767,40.33,2.0,20.0,10%,0.0,396.0,,,,,,,,,10,1,87,6.0,Kurt Zouma,0,0,0
121,Reece James,24.0,Chelsea,Defender,England,20.0,26,15,8,1,,0.0,1.0,0.0,,,,,,1.0,,4.0,26.0,43.0,67%,0.0,6.0,26.0,27.0,13.0,0.0,108.0,137.0,121.0,31.0,42.0,44.0,0.0,0.0,3,1104,42.46,6.0,120.0,24%,0.0,45.0,,,,,,,,,1,0,24,1.0,Reece James,0,0,0
122,César Azpilicueta,28.0,Chelsea,Defender,Spain,31.0,272,158,56,8,,2.0,6.0,0.0,,,,,,1.0,,95.0,276.0,722.0,73%,2.0,29.0,475.0,788.0,416.0,5.0,1376.0,1400.0,977.0,69.0,475.0,375.0,3.0,0.0,31,15647,57.53,32.0,577.0,22%,25.0,633.0,,,,,,,,,23,1,240,10.0,César Azpilicueta,0,0,0
123,Fikayo Tomori,14.0,Chelsea,Defender,England,22.0,17,9,5,1,,0.0,1.0,0.0,,,,,,0.0,,4.0,21.0,32.0,53%,1.0,1.0,24.0,53.0,26.0,0.0,102.0,81.0,49.0,9.0,34.0,29.0,0.0,0.0,0,1193,70.18,0.0,4.0,25%,3.0,43.0,,,,,,,,,3,0,8,1.0,Fikayo Tomori,0,0,0
124,Emerson,33.0,Chelsea,Defender,Italy,26.0,30,11,14,0,,0.0,0.0,0.0,,,,,,1.0,,4.0,36.0,43.0,58%,0.0,6.0,28.0,31.0,17.0,0.0,104.0,122.0,74.0,27.0,25.0,21.0,0.0,0.0,1,1285,42.83,3.0,97.0,19%,2.0,32.0,,,,,,,,,3,0,15,2.0,Emerson,0,0,0
125,Ben Chilwell,21.0,Chelsea,Defender,England,23.0,99,40,36,4,,0.0,1.0,3.0,,,,,,1.0,,24.0,117.0,157.0,63%,1.0,10.0,117.0,261.0,148.0,1.0,529.0,637.0,542.0,111.0,261.0,189.0,0.0,1.0,9,4540,45.86,12.0,337.0,18%,8.0,137.0,,,,,,,,,10,1,81,8.0,Ben Chilwell,0,0,0
126,Thiago Silva,6.0,Chelsea,Defender,Brazil,36.0,0,0,0,0,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,Thiago Silva,0,0,0
127,Juan Castillo,,Chelsea,Defender,Netherlands,20.0,0,0,0,0,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,Juan Castillo,0,0,0
128,Hakim Ziyech,22.0,Chelsea,Midfielder,Morocco,27.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,,,,,,,,,0,0,0,0.0,0,0,Hakim Ziyech,0
129,Jorginho,5.0,Chelsea,Midfielder,Italy,28.0,70,37,18,7,0.1,0.0,7.0,0.0,5.0,0.0,33.0,13.0,39%,0.0,1.0,,,147.0,54%,,9.0,130.0,64.0,29.0,,533.0,256.0,306.0,28.0,29.0,60.0,,0.0,3,5482,78.31,12.0,12.0,17%,50.0,231.0,,,,,,,,,18,0,63,0.0,0,0,Jorginho,0
130,N'Golo Kanté,7.0,Chelsea,Midfielder,France,29.0,166,98,35,10,0.06,0.0,6.0,4.0,0.0,0.0,120.0,29.0,24%,0.0,7.0,,,540.0,65%,,46.0,420.0,184.0,77.0,,1320.0,922.0,920.0,190.0,123.0,204.0,,2.0,10,8952,53.93,15.0,86.0,29%,28.0,364.0,,,,,,,,,22,0,218,7.0,0,0,N'Golo Kanté,0
131,Ross Barkley,8.0,Chelsea,Midfielder,England,26.0,202,91,59,25,0.12,2.0,16.0,7.0,2.0,2.0,411.0,119.0,29%,10.0,25.0,,,172.0,73%,,145.0,76.0,108.0,85.0,,755.0,973.0,1048.0,376.0,170.0,168.0,,2.0,27,7686,38.05,32.0,322.0,22%,59.0,469.0,,,,,,,,,18,0,155,19.0,0,0,Ross Barkley,0
132,Ruben Loftus-Cheek,12.0,Chelsea,Midfielder,England,24.0,78,35,22,9,0.12,2.0,6.0,1.0,0.0,0.0,78.0,19.0,24%,1.0,6.0,,,54.0,69%,,27.0,44.0,41.0,27.0,,266.0,355.0,337.0,131.0,65.0,93.0,,0.0,6,1854,23.77,7.0,16.0,19%,6.0,50.0,,,,,,,,,1,0,39,6.0,0,0,Ruben Loftus-Cheek,0
133,Mateo Kovacic,17.0,Chelsea,Midfielder,Croatia,26.0,64,34,16,1,0.02,0.0,1.0,0.0,0.0,0.0,49.0,9.0,18%,1.0,2.0,,,108.0,62%,,24.0,30.0,34.0,17.0,,300.0,320.0,222.0,120.0,19.0,27.0,,0.0,5,3398,53.09,4.0,16.0,13%,19.0,128.0,,,,,,,,,11,0,40,0.0,0,0,Mateo Kovacic,0
